system,planet,msini_mjup,swept,edge_on_survival,ceiling_factor,m95_factor,mass_ceiling_mjup,mass_95_mjup,inc_floor_deg,t_max_yr
YZ Cet,YZ Cet c,0.00358684,True,0.9,9.566772233505626,2.9672447459630056,0.03431448131802732,0.010643032144609947,6.000000000000001,553.2843196656058
YZ Cet,YZ Cet d,0.00342952,True,0.9,9.566772233505626,2.9672447459630056,0.032809436710252216,0.010176225201175048,6.000000000000001,553.2843196656058
HD 191939,HD 191939 b,0.03146352,False,1.0,,3.156793548996442,,,,2431.3018120170277
HD 191939,HD 191939 c,0.02517081,False,1.0,,3.156793548996442,,,,2431.3018120170277
HD 191939,HD 191939 d,0.00880979,False,1.0,,3.156793548996442,,,,2431.3018120170277
HD 191939,HD 191939 e,0.35302068,True,1.0,,3.156793548996442,,1.1144134052863373,,2431.3018120170277
HD 191939,HD 191939 g,0.04247575,True,1.0,,3.156793548996442,,0.13408717358878564,,2431.3018120170277
HD 191939,HD 191939 f,2.88,True,1.0,,3.156793548996442,,9.091565421109753,,2431.3018120170277
HD 189567,HD 189567 b,0.02674399,True,1.0,,3.071044654128125,,0.08213198751955603,,3911.8426292326426
HD 189567,HD 189567 c,0.02202446,True,1.0,,3.071044654128125,,0.06763810014305872,,3911.8426292326426
HD 28471,HD 28471 b,0.01170443,True,0.95,,2.8517036184587257,,0.03337756538299686,,866.5027702305638
HD 28471,HD 28471 c,0.01799713,True,0.95,,2.8517036184587257,,0.05132248074287209,,866.5027702305638
HD 28471,HD 28471 d,0.01544859,True,0.95,,2.8517036184587257,,0.04405480000308529,,866.5027702305638
HD 219134,HD 219134 b,0.01491363,False,1.0,,3.2025630761017436,,,,846.7974061446336
HD 219134,HD 219134 c,0.01371803,False,1.0,,3.2025630761017436,,,,846.7974061446336
HD 219134,HD 219134 f,0.02296825,False,1.0,,3.2025630761017436,,,,846.7974061446336
